"filename", "language", "Ini", "C++", "GLSL", "Shell Script", "Batch", "CMake", "YAML", "Objective-C++", "Markdown", "C", "comment", "blank", "total"
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\imgui.ini", "Ini", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\Menu.hpp", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 154, 4, 167
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\cameras\Camera.hpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 61
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\controllers\Controller.hpp", "C++", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 38
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\controllers\DragController.hpp", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\controllers\FlyController.hpp", "C++", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\controllers\OrbitController.hpp", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\dimension3D.hpp", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\objects\Light.hpp", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 43
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\objects\Object.hpp", "C++", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 77
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\opengl\FrameBuffer.hpp", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\opengl\Shader.hpp", "C++", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 79
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\opengl\Texture.hpp", "C++", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 50
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\opengl\VertexBuffer.hpp", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 58
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\utils\Color.hpp", "C++", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\utils\Material.hpp", "C++", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\utils\Mesh.hpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 62
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\utils\libraries.hpp", "C++", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 41
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\utils\utils.hpp", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 48
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\vectors\Vector2.hpp", "C++", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 104
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\vectors\Vector3.hpp", "C++", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 115
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\vectors\Vector4.hpp", "C++", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 98
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\windows\Scene.hpp", "C++", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 68
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\includes\dim\windows\Window.hpp", "C++", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 50
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\Menu.cpp", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 728, 4, 736
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\cameras\Camera.cpp", "C++", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 104
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\controllers\Controller.cpp", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\controllers\DragController.cpp", "C++", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 63
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\controllers\FlyController.cpp", "C++", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 98
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\controllers\OrbitController.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 62
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\dimension3D.cpp", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\objects\Light.cpp", "C++", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 63
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\objects\Object.cpp", "C++", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38, 204
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\opengl\FrameBuffer.cpp", "C++", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 158
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\opengl\Shader.cpp", "C++", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 275
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\opengl\Texture.cpp", "C++", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 108
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\opengl\VertexBuffer.cpp", "C++", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 172
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\utils\Color.cpp", "C++", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 69
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\Dimension3D\sources\utils\Material.cpp", "C++", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 75
